mileage_per_year,model_year,price,car_age,sold
15844,1999,82495.58,25,no
12962,1999,11979.47,25,yes
9498,2005,77816.76,19,no
15894,2002,41273.9,22,yes
11118,2008,103459.05,16,yes
12453,2011,73901.01,13,no
13032,2003,75390.33,21,no
14120,2010,75457.92,14,yes
13791,2002,75285.5,22,yes
8575,2000,95177.42,24,yes
22968,2004,95676.08,20,no
17000,2002,45343.51,22,yes
18472,1998,96467.94,26,no
5735,1998,90684.94,26,no
12248,2012,43390.38,12,yes
13247,2011,105329.2,13,no
9619,2011,84517.72,13,yes
10606,1998,61696.4,26,no
16712,2000,38245.75,24,yes
11738,2005,79957.38,19,yes
8508,2003,91674.9,21,no
11269,2007,96028.69,17,no
8872,2015,103326.66,9,yes
9066,2012,107562.56,12,no
11377,2005,35738.06,19,yes
14474,2005,32582.02,19,yes
13381,2002,26871.75,22,yes
11022,2003,103336.64,21,yes
11193,2004,44303.89,20,no
14089,1999,58770.23,25,yes
18211,2011,95838.99,13,no
14542,2003,80921.29,21,no
14067,2005,94786.28,19,no
16491,1998,102461.86,26,yes
19852,1999,66761.79,25,no
9909,2009,95016.78,15,yes
12838,1999,23334.06,25,yes
9424,2010,66311.2,14,no
10709,2002,20199.69,22,yes
15156,2012,74419.32,12,no
13732,2012,76829.64,12,no
7450,2000,72033.52,24,no
22705,2002,101257.79,22,yes
16234,2012,41923.42,12,yes
10780,2001,16547.2,23,yes
12135,1999,94912.13,25,no
12268,2013,39284.89,11,yes
11484,2006,58005.41,18,yes
15245,2006,22629.92,18,yes
9399,2012,66930.86,12,no
20600,1999,40436.0,25,no
17420,2005,51383.65,19,yes
12522,2009,79893.16,15,yes
9232,1999,72450.5,25,no
17593,1999,56535.6,25,yes
13054,2001,81437.98,23,no
15773,2005,66587.22,19,no
13071,2005,96076.38,19,no
10193,1998,98132.27,26,yes
14789,2008,99431.8,16,no
12578,2005,35021.38,19,yes
15076,2004,96253.86,20,no
14386,1999,84931.89,25,no
15169,2009,45154.74,15,yes
9336,2004,78835.63,20,yes
10525,1998,58980.31,26,yes
11770,2014,64465.21,10,yes
14115,2005,38315.73,19,yes
6642,2011,90298.67,13,no
9555,2008,52555.22,16,no
16119,2000,24441.23,24,yes
13801,2009,107431.11,15,no
6762,2008,64096.95,16,no
11849,2013,53669.06,11,yes
19474,2000,60693.34,24,no
24462,2009,83884.53,15,no
10766,1999,68563.86,25,yes
16572,2001,82261.92,23,no
19600,2002,116027.14,22,yes
16277,2004,33361.66,20,yes
11304,2013,40174.67,11,no
14425,2007,100872.41,17,no
13889,2004,91729.32,20,yes
7735,2007,37220.88,17,yes
13731,1998,42932.35,26,yes
7653,2012,105354.79,12,no
24182,2006,70237.57,18,no
18551,1998,27085.34,26,yes
8082,2004,103986.22,20,no
18648,1999,53868.23,25,yes
8388,2002,103445.43,22,no
19636,2004,50956.1,20,no
11228,2003,41999.23,21,yes
12000,2000,42653.18,24,yes
8840,2004,98138.6,20,no
25383,2002,77999.11,22,no
12823,2007,30009.3,17,yes
13733,2008,97198.21,16,no
12135,2002,46167.55,22,yes
13811,2006,33977.16,18,yes
12200,2013,101201.24,11,no
10308,2003,24148.18,21,yes
18779,2007,83091.96,17,no
6970,2006,38810.77,18,yes
12030,1999,64021.74,25,no
6736,2001,59679.59,23,yes
19236,1998,70260.51,26,yes
21644,1998,33855.29,26,yes
14808,2001,90108.76,23,yes
7749,2015,70021.62,9,no
12183,2012,88631.4,12,yes
12076,2006,94664.91,18,no
6546,2007,99968.88,17,no
6496,2008,50061.13,16,yes
10779,2004,60974.59,20,yes
15667,2000,82931.27,24,no
17929,1999,39039.59,25,yes
18390,2010,53963.73,14,yes
8379,2002,15305.7,22,yes
8596,2011,45718.37,13,no
10860,2006,96180.51,18,yes
8724,2007,39007.92,17,yes
24981,1999,88150.84,25,no
11143,2008,97110.55,16,yes
26091,2006,86931.31,18,no
12248,2000,24341.89,24,yes
9074,2011,42751.8,13,yes
19545,2003,71739.52,21,no
6040,2006,65241.32,18,no
7796,1999,73067.51,25,yes
12084,1998,60570.37,26,yes
10753,2000,64984.26,24,no
10775,2002,80657.07,22,yes
11071,2003,83781.08,21,no
25049,2001,23448.52,23,yes
11609,2001,39346.34,23,yes
22207,2006,71532.28,18,no
27565,2000,70118.54,24,no
8425,2003,70719.34,21,yes
11259,1998,36936.61,26,yes
11122,2008,95422.54,16,yes
14190,2000,60788.08,24,no
14122,1998,73153.25,26,yes
14259,1999,72758.98,25,no
11893,2001,41366.51,23,yes
28868,2013,54764.77,11,no
11921,2005,62605.17,19,yes
11130,2006,37530.15,18,yes
9755,1998,61726.41,26,no
11346,2011,67703.88,13,no
21484,2002,65691.55,22,no
9761,2008,38234.77,16,yes
27781,2001,97033.21,23,no
16090,2007,34119.04,17,yes
10899,2002,95342.37,22,no
18872,2003,65200.08,21,no
21936,2006,73548.4,18,no
13432,1999,40769.51,25,yes
27036,2003,48927.78,21,yes
14989,2000,80858.31,24,no
8315,2003,48885.2,21,yes
20589,2003,35631.97,21,yes
25915,2007,79025.54,17,no
15216,2007,49590.78,17,no
8393,2002,24614.46,22,yes
14597,2006,85914.82,18,no
8809,2013,84192.06,11,yes
13138,2016,110558.98,8,no
14464,2004,78617.01,20,no
27585,2001,58933.0,23,yes
13468,2011,45677.29,13,yes
9994,2000,78547.52,24,yes
18208,2001,41605.44,23,yes
8779,1999,30481.01,25,yes
14259,2010,105677.42,14,yes
10178,2004,45817.6,20,yes
20550,2009,96407.65,15,no
18194,1998,80183.01,26,no
13564,2015,48616.33,9,yes
9485,2009,58761.47,15,yes
16048,2001,56037.14,23,yes
19812,2001,34621.52,23,yes
13741,2016,108416.34,8,yes
22014,2010,97926.72,14,no
11869,2010,65811.04,14,yes
10572,2009,50146.34,15,no
7698,2006,109215.68,18,yes
16572,2001,56158.82,23,no
22330,2002,25495.31,22,yes
7915,2012,93179.79,12,yes
15093,2008,80301.3,16,no
9257,2011,80608.35,13,yes
4702,2011,70524.3,13,yes
13957,1998,50307.59,26,yes
13322,2004,52763.86,20,no
22469,2005,74560.79,19,no
24880,1999,50272.61,25,yes
10501,2010,48031.11,14,yes
7133,2006,60835.06,18,no
12392,1998,103001.47,26,no
19147,1998,44724.71,26,no
22890,2007,62896.9,17,no
16634,2012,36757.34,12,yes
10490,2007,99345.47,17,no
17268,1999,35187.66,25,yes
18098,1999,60494.2,25,no
17714,2008,32140.32,16,yes
11055,1998,72494.65,26,no
12988,2010,60963.98,14,yes
17744,2002,29846.95,22,yes
11944,2000,96629.93,24,no
17102,2000,17099.53,24,yes
13569,2009,91871.81,15,no
12592,2001,105254.27,23,yes
16587,1999,66800.19,25,no
17507,2011,71884.55,13,no
22757,2000,99362.45,24,yes
9832,2003,65502.27,21,no
15584,2014,61589.68,10,no
11605,1998,85528.69,26,yes
19196,2003,51048.1,21,yes
9938,2014,89204.35,10,no
11661,2005,34106.61,19,yes
13282,2003,93591.27,21,yes
8644,1998,42460.74,26,yes
9276,2004,105170.22,20,yes
25101,1998,89394.0,26,no
14001,2010,81849.27,14,no
20403,2002,21698.45,22,yes
7293,1999,67026.41,25,yes
18904,2002,58795.57,22,yes
21374,2001,32578.24,23,yes
8745,2012,106744.63,12,no
13200,2008,50227.03,16,yes
16191,1998,29275.66,26,yes
16680,2013,87249.72,11,no
26837,1998,60412.78,26,no
9139,1999,58403.01,25,yes
12570,1998,60611.05,26,yes
9349,2014,51375.39,10,no
14740,2010,94724.39,14,yes
16478,2008,115907.54,16,yes
17248,1999,108072.15,25,yes
9487,1999,71393.18,25,yes
21920,2000,64356.4,24,no
12126,2001,65512.96,23,no
23175,2005,73526.68,19,no
10615,2000,86962.43,24,yes
10307,2009,75308.4,15,yes
13175,2002,77450.66,22,no
16801,2001,87133.58,23,no
7608,2007,72921.91,17,no
24152,2011,54881.34,13,yes
15938,2005,51414.06,19,yes
19269,2005,73995.74,19,no
17855,1998,58540.97,26,no
15972,2007,92527.23,17,no
7150,2001,67457.71,23,no
28770,1999,42270.45,25,yes
6621,2014,66502.41,10,no
7388,2005,76128.49,19,no
18208,2000,48176.44,24,yes
8715,2006,99855.89,18,no
6411,2012,32988.68,12,yes
15357,2004,95672.85,20,no
7946,2001,40562.78,23,yes
8944,2010,89447.12,14,yes
22048,2009,101020.51,15,yes
19395,2000,61876.6,24,no
10008,1999,10523.62,25,yes
9332,1999,50350.21,25,yes
8801,2003,71042.66,21,yes
21686,2008,89330.23,16,yes
17697,2002,38275.15,22,yes
13099,2006,56944.59,18,no
9671,2003,71172.51,21,no
8388,2004,21425.97,20,yes
13615,1999,33195.17,25,yes
14785,2002,80133.35,22,yes
19801,2007,95451.76,17,no
11053,2005,75429.15,19,no
18855,2006,73828.87,18,no
7854,2009,53441.7,15,no
19274,2004,87397.7,20,no
19761,1998,40425.74,26,yes
13337,2004,59712.76,20,yes
8492,2003,53620.03,21,yes
14911,2005,69926.45,19,no
14116,2008,99947.31,16,yes
17583,2001,71901.77,23,no
17566,2011,75606.69,13,no
16998,2001,100109.51,23,yes
10875,2005,54470.12,19,yes
23439,2002,55234.23,22,no
8864,1999,16100.55,25,yes
18979,2002,27837.75,22,yes
14510,2005,92347.47,19,yes
8566,2006,51786.94,18,yes
11479,2006,88147.2,18,yes
13015,2002,48748.05,22,yes
12209,1998,82718.96,26,yes
10763,2002,47725.66,22,yes
6876,1999,96824.04,25,yes
27768,2008,70160.04,16,no
12286,2002,106663.84,22,yes
9143,1998,12679.47,26,yes
16970,2011,53256.53,13,no
23958,2006,75329.62,18,no
14024,2004,42410.77,20,yes
9231,2000,48904.71,24,no
20437,2011,38707.38,13,yes
11995,2001,87000.67,23,yes
11124,2006,55680.57,18,no
19622,2000,31682.9,24,yes
19200,2008,59919.38,16,yes
7738,2005,98076.26,19,yes
14303,2006,97051.88,18,no
22886,2000,31384.59,24,yes
10463,2000,100902.05,24,yes
13489,2007,52934.42,17,yes
15092,2003,78931.13,21,no
10644,1998,82494.0,26,yes
13558,1998,52238.42,26,yes
12670,2002,53840.35,22,yes
14937,2009,35711.03,15,yes
14114,2007,81582.81,17,no
12902,2000,83509.77,24,yes
11111,1999,32167.57,25,yes
9539,2011,114609.66,13,yes
11911,2000,54940.25,24,no
8181,1999,100368.11,25,yes
17686,2009,48481.31,15,no
6300,1999,68456.86,25,no
20743,2009,81234.8,15,no
9544,1999,27338.23,25,yes
21031,2011,83224.59,13,no
20947,1998,16021.54,26,yes
13572,2001,110580.13,23,no
17392,2010,80300.46,14,no
18251,2013,103801.19,11,no
12051,2004,55874.91,20,yes
13795,1998,46315.44,26,no
15680,2003,75938.53,21,no
15790,2008,55401.34,16,yes
5778,2005,65761.48,19,no
6720,1999,27817.54,25,yes
8645,1999,19850.82,25,yes
19972,2014,95755.37,10,no
11680,2010,40400.53,14,yes
16728,2004,110690.57,20,yes
17981,2001,27716.48,23,yes
20345,2004,70343.39,20,no
7683,2008,98412.88,16,no
23892,2001,80541.59,23,no
13454,2007,96096.25,17,no
19931,2001,77244.26,23,no
13606,2006,68299.71,18,no
10602,2005,111244.38,19,no
8723,2005,90401.7,19,yes
11286,2005,26955.05,19,yes
18123,2009,60646.51,15,no
11304,2003,83964.09,21,yes
9863,2000,84740.57,24,no
11888,2000,70549.92,24,no
9470,2006,55664.61,18,yes
9924,1999,40858.27,25,yes
17260,2002,37208.98,22,yes
12367,1998,106805.75,26,yes
12447,2002,85981.58,22,yes
13318,2007,90746.74,17,no
24522,2007,25530.37,17,yes
12454,1998,42114.38,26,yes
22558,2002,62955.76,22,no
16866,2010,62601.2,14,no
9805,1999,14413.13,25,yes
15253,2012,57965.53,12,yes
12166,2006,63861.1,18,yes
18022,1998,32423.59,26,yes
16831,2000,43559.2,24,yes
12756,2008,104052.72,16,yes
5674,2002,68838.93,22,yes
16968,2004,85783.86,20,no
14292,1999,88167.15,25,no
14155,2005,42538.65,19,yes
10878,1998,97880.4,26,no
13925,2000,62681.06,24,no
8243,1998,52926.99,26,yes
12735,2003,67329.21,21,yes
7950,2005,20846.59,19,yes
16873,1999,58939.63,25,yes
7855,2012,88674.81,12,no
15729,2007,49765.05,17,yes
14510,2002,41307.46,22,yes
9902,2008,45362.91,16,yes
12297,2000,50057.74,24,yes
9078,2002,44310.77,22,yes
23919,2002,51853.51,22,yes
16180,2007,65149.93,17,no
20297,2004,85506.78,20,no
19970,1999,71596.17,25,no
9993,2005,55055.51,19,yes
15449,2014,49025.81,10,yes
15049,2002,60821.74,22,no
23117,2004,81831.6,20,no
11762,2009,82521.32,15,yes
15785,2013,78328.58,11,no
18980,1999,31185.41,25,yes
9319,2005,61411.58,19,no
16810,2004,66153.58,20,no
14943,2003,55137.78,21,yes
20909,2004,50513.62,20,no
21530,2003,35149.84,21,yes
17415,2003,83297.56,21,no
7603,2004,93908.17,20,no
13727,2008,104612.09,16,yes
11752,2000,55070.37,24,no
12624,2012,82861.88,12,no
15197,2000,41954.96,24,yes
14051,2002,106143.54,22,yes
12356,2001,96169.66,23,no
15173,2002,51913.4,22,no
8069,2002,59815.67,22,yes
14894,1998,90189.83,26,no
16270,2004,86648.92,20,no
17866,1998,25472.09,26,yes
12780,1999,23477.18,25,yes
15578,2006,88926.53,18,no
11862,2005,47535.86,19,no
13175,2000,52835.52,24,yes
23038,2006,60396.79,18,no
15055,2009,47491.72,15,yes
8507,1998,55869.47,26,no
6420,2010,44250.73,14,yes
15322,1998,27710.15,26,yes
16914,2008,114701.35,16,no
19354,2003,56185.73,21,yes
17259,2003,52716.99,21,yes
10214,2001,30496.76,23,yes
26432,2000,30686.29,24,yes
9792,2003,55129.13,21,no
15392,2010,29643.29,14,yes
12324,2003,68762.98,21,no
10902,2012,82962.29,12,yes
13750,1999,16907.72,25,yes
11946,2002,30812.73,22,yes
15604,2013,46181.5,11,yes
8947,2007,54531.19,17,no
8338,1998,96511.12,26,no
23369,2005,57887.84,19,yes
22626,2006,63543.24,18,no
15808,2000,45855.28,24,yes
12739,2010,77605.68,14,yes
9960,2000,17118.01,24,yes
5496,1999,96670.08,25,yes
9758,2005,43224.35,19,yes
12470,1999,60916.85,25,yes
11160,2000,64801.02,24,no
16915,2006,52450.74,18,yes
8196,2003,60177.16,21,no
17064,2006,100429.64,18,yes
18282,1998,69907.81,26,yes
15008,2003,58367.72,21,no
15921,2006,92028.22,18,no
19222,2002,21990.03,22,yes
13097,2004,67815.16,20,no
5767,2007,107739.84,17,no
13338,2001,34201.64,23,yes
15872,2012,77844.32,12,no
20543,2001,29576.99,23,yes
16502,2005,53445.79,19,yes
24680,1998,63403.84,26,no
23613,2009,45854.85,15,no
10363,2007,37776.96,17,yes
13920,2008,114977.51,16,yes
9939,1998,94770.54,26,no
10208,2007,39677.04,17,yes
16604,2005,68765.21,19,no
13961,2010,60557.45,14,yes
12600,2002,52459.5,22,yes
15912,2002,101767.23,22,no
19755,1998,45658.62,26,yes
13704,2000,97645.54,24,no
7740,2002,79332.74,22,no
19644,2000,71344.99,24,no
20122,2000,96267.37,24,no
14178,2012,97742.8,12,yes
12228,1998,71730.69,26,no
14938,2000,92118.45,24,no
8277,2007,86895.79,17,no
10600,2003,80811.89,21,yes
14146,2007,60301.19,17,no
8851,2002,72823.12,22,no
11151,2000,64421.22,24,yes
17193,2005,97257.56,19,no
17746,2003,86046.63,21,no
11667,2004,66538.26,20,no
20444,2014,55775.43,10,no
11994,2008,75998.38,16,no
10123,2013,41081.74,11,no
19103,2005,59857.03,19,yes
37394,2013,64190.79,11,no
10598,2007,73410.03,17,no
11670,2009,99430.17,15,yes
14150,2003,50957.91,21,yes
19311,2003,84360.9,21,no
16091,2008,93693.78,16,no
18190,2007,50087.6,17,yes
23919,2005,44378.87,19,yes
17909,2003,95736.89,21,no
12224,2002,25309.79,22,yes
15262,2004,89301.89,20,no
20494,2000,37872.08,24,yes
13973,2010,32015.55,14,yes
7797,2000,53270.42,24,no
11816,2009,35354.08,15,yes
23553,2007,102614.05,17,yes
11942,2000,60686.91,24,yes
16926,2002,32230.06,22,yes
11492,2003,28056.3,21,yes
13450,2012,80387.31,12,no
16092,1998,90394.28,26,no
14230,2003,78238.12,21,yes
9639,2000,20636.39,24,yes
6385,2009,62340.6,15,yes
13482,2005,91123.54,19,no
13174,2001,16043.96,23,yes
15866,2007,51197.87,17,yes
11871,2006,74060.87,18,no
17635,1999,32222.66,25,yes
18466,2006,26129.87,18,yes
17828,2001,88099.83,23,no
10984,2002,81441.14,22,yes
9645,2006,69025.81,18,yes
9133,2000,43005.66,24,yes
6657,2007,72457.14,17,no
11007,2015,61418.1,9,no
15890,2008,95856.58,16,yes
9722,2001,47468.8,23,yes
7707,2000,57628.09,24,yes
11963,1999,67773.9,25,no
17522,2002,27983.28,22,yes
11530,1999,30048.86,25,yes
10507,2001,69954.14,23,yes
13286,1999,68798.47,25,no
9277,2011,96111.84,13,yes
16971,1999,98987.32,25,no
21516,1999,93424.64,25,no
10159,2001,51221.41,23,yes
5893,2005,50693.66,19,no
16974,2000,60867.55,24,no
11403,2000,33329.29,24,yes
11887,1999,86023.79,25,yes
21135,2003,38155.67,21,yes
19074,2002,72108.55,22,no
14619,2003,87508.53,21,no
9574,2007,101103.66,17,yes
14989,2005,71912.15,19,yes
19407,2007,75682.44,17,no
9601,2008,49830.26,16,yes
14428,2010,96731.56,14,no
18280,2002,80440.24,22,no
13058,2006,62700.93,18,no
13939,2000,75160.29,24,yes
20014,2006,104705.85,18,yes
10707,2003,90899.86,21,yes
25794,2000,103643.22,24,no
12837,1999,89084.24,25,yes
13030,2003,88657.86,21,no
19950,2011,61331.48,13,no
16192,2001,41625.0,23,no
14881,1998,30430.91,26,yes
14776,2003,79290.13,21,yes
12744,2012,108974.78,12,no
13013,2011,105346.4,13,no
17064,2005,25477.08,19,yes
11450,2007,91190.27,17,no
10365,2012,65653.57,12,yes
5977,2006,93325.37,18,no
14652,1999,90110.38,25,no
23824,2011,86579.53,13,no
15625,1999,43509.27,25,no
12123,2000,43966.31,24,yes
12239,2000,38979.54,24,yes
12921,2001,58125.86,23,yes
39226,1998,42052.8,26,no
8228,2005,73584.98,19,yes
12987,2008,48287.26,16,yes
8270,1999,67867.53,25,no
19064,2006,68562.61,18,no
22539,2011,80135.94,13,no
18105,2001,82571.99,23,no
15291,2005,58997.33,19,no
21951,2003,86868.2,21,no
19103,2016,92393.34,8,no
13961,1998,82078.97,26,no
12351,2002,51097.21,22,yes
8052,2001,76746.96,23,no
15889,2010,31126.22,14,yes
8402,2001,87421.77,23,yes
5945,2004,54789.0,20,yes
26910,2007,47870.87,17,yes
9795,2006,77192.03,18,yes
17583,2000,60215.14,24,no
10462,2005,38926.9,19,yes
20068,2008,77690.95,16,no
18722,2012,42749.08,12,yes
21496,2002,37562.77,22,yes
15881,2003,25479.97,21,yes
14753,1998,84121.67,26,yes
13194,2006,96223.45,18,yes
12804,2007,52092.5,17,yes
11706,2012,53350.22,12,yes
12489,1998,43823.16,26,yes
17617,2001,92956.75,23,no
363,2003,85323.93,21,no
15572,2001,68765.44,23,no
5058,1998,48849.12,26,no
13006,2016,76616.81,8,no
8283,2000,39044.74,24,yes
10803,1998,39937.5,26,yes
11467,2010,70756.45,14,yes
7061,2011,65982.96,13,yes
15228,2013,73918.08,11,no
12968,2000,47279.05,24,no
13809,2000,35508.95,24,yes
6424,2005,71871.52,19,yes
8448,2000,18234.99,24,yes
12992,2003,93710.17,21,yes
6552,2002,27831.26,22,yes
8777,1998,41566.03,26,yes
20462,2010,72281.71,14,no
8480,2001,58031.32,23,yes
17176,2001,63153.7,23,no
16105,1999,61992.78,25,no
20410,2003,60826.02,21,no
9057,2000,78971.4,24,no
7281,2012,80857.98,12,no
19218,2003,41841.71,21,yes
19190,1998,74738.67,26,no
16277,2003,37754.27,21,yes
12244,1999,48880.96,25,yes
11567,2013,111232.69,11,yes
17867,2006,43522.35,18,yes
15359,2008,89175.83,16,no
17836,2010,84895.96,14,no
8797,2005,31159.1,19,yes
14914,2000,33671.6,24,yes
10179,2006,75378.47,18,no
12906,2006,52821.78,18,no
9242,1999,97969.32,25,yes
10685,2006,82130.68,18,no
11101,2007,69938.01,17,yes
25337,1998,60151.71,26,no
12532,2002,90791.51,22,no
23931,2011,69216.95,13,no
16078,1999,51786.56,25,yes
22354,2000,85492.67,24,no
17237,1998,78506.26,26,no
9491,2008,44195.14,16,no
11012,2011,83396.53,13,no
17270,2005,97387.88,19,no
18218,2000,11849.57,24,yes
19443,2000,65749.97,24,no
13904,2002,57209.28,22,no
18151,2002,22733.76,22,yes
12650,2005,68274.8,19,no
18188,2010,50935.23,14,no
13185,2002,83821.74,22,yes
10665,2013,76443.36,11,yes
13594,2008,94356.13,16,yes
15316,2001,20653.47,23,yes
20339,1998,44063.92,26,yes
18711,2010,74128.76,14,yes
13559,1998,18239.6,26,yes
13653,2002,42592.0,22,yes
15942,2007,93973.19,17,no
10138,1998,13019.74,26,yes
17808,2008,80643.48,16,no
6638,1998,47153.12,26,yes
12036,2001,61161.66,23,no
19957,1998,11053.79,26,yes
11781,1998,21895.94,26,yes
10937,2000,80450.28,24,no
13584,1999,87141.84,25,no
7153,2004,50261.76,20,yes
17220,2006,91365.12,18,no
11802,2000,96716.21,24,yes
6943,1999,46222.38,25,yes
13202,2004,93889.4,20,yes
13992,2001,58691.22,23,no
8860,2007,97824.01,17,no
10870,2008,85152.64,16,no
27028,2002,45171.94,22,yes
8479,2005,43950.05,19,no
8248,1999,31848.92,25,yes
13212,2005,47803.95,19,no
11013,1998,91780.26,26,no
7835,2008,81355.74,16,yes
9752,2003,77585.11,21,no
9472,2014,61947.0,10,no
15465,2005,64948.91,19,no
14284,2016,87487.93,8,no
13146,2005,48875.07,19,no
13005,1998,16354.14,26,yes
16136,2002,59443.2,22,no
10007,2004,49207.48,20,yes
10333,2012,71282.48,12,yes
11986,1998,18887.11,26,yes
12348,2009,37244.93,15,yes
23626,2006,66905.3,18,no
18076,2005,50313.96,19,no
12061,2010,82721.7,14,yes
18689,2009,105926.86,15,yes
11402,2000,66987.51,24,yes
22204,2016,70302.9,8,no
14319,2006,69005.74,18,yes
11917,1999,76833.14,25,no
10795,2002,75393.38,22,no
8978,2003,47033.03,21,yes
16460,2008,111319.48,16,yes
23367,2006,109509.96,18,no
17560,2005,58570.17,19,yes
9088,2002,80390.26,22,no
14845,1999,29982.33,25,yes
18333,2015,49528.74,9,yes
11192,2010,96402.43,14,no
9045,1998,27616.01,26,yes
7584,1999,55931.97,25,yes
9439,2013,111263.35,11,yes
16436,2013,101415.11,11,yes
13803,2001,59464.51,23,yes
20915,2007,73355.27,17,no
15654,2008,45748.06,16,yes
31071,2003,83686.13,21,no
20578,2002,58200.34,22,yes
11360,2016,45010.88,8,yes
7458,1999,47584.23,25,yes
12772,2006,109009.54,18,yes
13015,1998,99045.26,26,no
17942,2009,29868.87,15,yes
16889,1998,83735.84,26,no
11259,2006,92916.94,18,no
11321,2004,68956.22,20,yes
10154,2011,57027.85,13,yes
15923,1998,47064.3,26,yes
6535,2015,69811.07,9,no
12305,2002,48412.88,22,no
14301,1998,43033.47,26,yes
8737,2003,16599.03,21,yes
17801,1999,86069.22,25,no
19809,2002,42491.27,22,yes
18143,2008,78235.69,16,no
19376,2004,97741.64,20,no
8806,2000,86830.79,24,yes
5837,2004,83896.38,20,yes
7997,2000,40088.17,24,yes
15296,2007,81708.98,17,no
8217,2005,22289.87,19,yes
8375,1998,64637.98,26,no
12150,1999,78807.86,25,yes
22582,2006,62887.42,18,no
20440,2003,80445.86,21,no
15427,2006,65019.81,18,no
16970,2000,58790.46,24,yes
16026,2000,86150.41,24,no
12754,2000,9293.94,24,yes
13075,1998,65290.11,26,yes
13535,2001,85602.03,23,no
15084,2007,47500.47,17,yes
18276,2007,39371.14,17,yes
17744,2009,89442.04,15,no
14595,2008,71977.33,16,no
16288,2001,90437.61,23,no
13386,1999,87274.13,25,yes
25878,2006,66781.04,18,no
15644,2001,28969.82,23,yes
23598,2001,70733.72,23,no
9663,1999,44224.36,25,yes
7275,2016,86577.51,8,no
13565,2004,58802.03,20,yes
13663,1999,25487.71,25,yes
11252,2008,86716.05,16,yes
21990,2001,80774.07,23,no
17866,2011,97830.91,13,no
13735,1999,36007.16,25,yes
19491,2005,79193.58,19,no
10298,2002,33276.52,22,yes
13521,2004,40890.38,20,yes
13661,2002,83537.38,22,no
15539,1999,95702.51,25,no
17786,2005,68048.91,19,no
6674,1999,98997.7,25,no
15567,1999,32612.92,25,yes
14256,2010,77546.13,14,no
17201,1998,56317.72,26,yes
9826,1998,27282.65,26,yes
16791,2008,55897.76,16,no
16539,2014,109411.39,10,no
19808,2005,24570.35,19,yes
9876,2003,90319.67,21,yes
10412,1998,39623.16,26,yes
12580,1999,101462.86,25,yes
19999,2012,90201.92,12,yes
17117,2001,74199.69,23,no
9361,2005,35655.12,19,yes
8179,2003,83046.1,21,no
7938,2006,92798.09,18,yes
14152,2017,108172.3,7,yes
16288,2005,89275.96,19,no
